# TEST CONFIGURATION BEGIN
# File Stream: filename: covertype.csv  -  n_targets: 1
# Prequential Evaluator: n_wait: 200 - max_samples: 2000 - max_time: inf - output_file: result_elec.csv - batch_size: 10 - pretrain_size: 1000 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
1000,0.200000,0.200000,0.000000,0.000000
1010,0.450000,0.450000,0.000000,0.000000
1020,0.400000,0.400000,0.000000,0.000000
1030,0.375000,0.375000,0.000000,0.000000
1040,0.380000,0.380000,0.000000,0.000000
1190,0.365000,0.365000,0.000000,0.000000
1390,0.370000,0.375000,0.000000,0.000000
1590,0.380000,0.400000,0.000000,0.000000
1790,0.375000,0.360000,0.000000,0.000000
1990,0.363000,0.315000,0.000000,0.000000
